Índice	Link	Data	Título	Primeiro Parágrafo	Temática	Região	Estado	Município
1	https://operacaocovid19.defesa.gov.br/noticias/noticia/740	21/03/2020	Militares da Marinha atuam na retirada de passageiros de navio de cruzeiro em Recife	Como parte da Operação Covid-19 do Ministério da Defesa, a Marinha atuou, neste sábado (21), na retirada de passageiros de um navio de cruzeiro retido em Recife (PE), desde que um passageiro foi atestado com Covid-19. Militares especializados em Defesa Biológica, Nuclear, Química e Radiológica (DBNQR) foram empregados na missão.	Apoio Logístico	Nordeste	PE	Recife
1017	https://operacaocovid19.defesa.gov.br/noticias/noticia/1756	07/10/2020	Reunião situacional para apresentar as ações desenvolvidas no enfrentamento à crise da COVID-19 	No dia 1º de outubro, o Comando da 1ª Brigada de Cavalaria Mecanizada (1ª Bda C Mec) realizou, no Quartel-General, uma reunião situacional para apresentar as ações desenvolvidas no contexto da Operação COVID-19.	Comunicação		Sul	RS	Santiago
1018	https://operacaocovid19.defesa.gov.br/noticias/noticia/1757	09/10/2020	Grupamento de Fuzileiros Navais de Brasília realiza desinfecção no Centro Educacional em Santa Maria (DF)
 	Militares do Grupamento de Fuzileiros Navais de Brasília (GptFNB), que integram o Grupamento Operativo de Fuzileiros Navais Muralha Planalto/Covid-19, do Comando do 7º Distrito Naval (Com7ºDN), desinfectaram, em 29 de setembro, salas de aula e demais áreas de comum acesso do Centro Educacional 416 de Santa Maria (DF).	Higienização		Centro-Oeste	DF	Santa Maria
1019	https://operacaocovid19.defesa.gov.br/noticias/noticia/1758	13/10/2020	Arsenal produz e entrega novo lote de Equipamentos de Proteção Individual
 	No dia 7 de outubro, o Arsenal de Guerra do Rio (AGR), prosseguindo nas ações contra o coronavírus, realizou a doação de um lote de equipamentos de proteção individual (EPI), composto por protetores faciais do tipo face shield e máscaras descartáveis não cirúrgicas ao Colégio Militar do Rio de Janeiro (CMRJ).	Apoio Logístico		Sudeste	RJ	Rio de Janeiro
1021	https://operacaocovid19.defesa.gov.br/noticias/noticia/1760	09/10/2020	Militares atuam em medidas de prevenção e enfrentamento ao novo coronavírus	A Marinha do Brasil, por meio do Comando Conjunto Leste, realizou na quarta-feira (7) ação de desinfecção no Centro Provisório de Acolhimento II, da Prefeitura do Rio de Janeiro. A atividade foi desempenhada por 15 militares, com o objetivo de conter o avanço da Covid-19 entre a população em situação de vulnerabilidade social. O Centro Provisório de Acolhimento II foi instalado em um hotel, localizado no centro da cidade. Com média diária de atendimento de cerca de 160 pessoas, o espaço recebeu desinfecção com material composto por quaternário de amônio e álcool 70%.	Higienização		Centro-Oeste	RJ	Rio de Janeiro
1022	https://operacaocovid19.defesa.gov.br/noticias/noticia/1761	09/10/2020	Navio-Patrulha “Guaíba” intensifica ações de inspeção naval e conscientização no Rio Grande do Norte	O Navio-Patrulha “Guaíba”, subordinado ao Comando do Grupamento de Patrulha Naval do Nordeste, intensificou, no dia 2 de outubro, as ações de inspeção naval e conscientização sobre o novo coronavírus na área marítima do Rio Grande do Norte.	Inspeções Sanitárias		Nordeste	RN	
1023	https://operacaocovid19.defesa.gov.br/noticias/noticia/1762	14/10/2020	Ação de desinfecção de áreas públicas 	NO dia 13 de outubro, foi realizada a descontaminação das instalações do Hospital Municipal de Governador Valadares (HMGV). A atividade foi realizada pelo Tiro de Guerra 04-007 (TG 04-007), por equipe de logística do 10° Batalhão de Infantaria Leve de Montanha (10º BIL Mth) e equipe especializada do 1º Batalhão de Defesa Química, Biológica, Radiológica e Nuclear (1º Btl DQBRN).	Higienização		Sudeste	MG	Governador Valadares
1024	https://operacaocovid19.defesa.gov.br/noticias/noticia/1763	14/10/2020	Arsenal produz e entrega Equipamentos de Proteção Individual
 	No dia 9 de outubro, o Arsenal de Guerra General Câmara (AGGC), prosseguindo nas ações de combate à COVID-19, realizou a entrega de equipamentos de proteção individual (EPI), protetores faciais do tipo face shield, ao Hospital Militar de Área de Porto Alegre (HMAPA).	Apoio Logístico		Sul	RS	General Câmara
1025	https://operacaocovid19.defesa.gov.br/noticias/noticia/1764	16/10/2020	Higienização e ação social são constantes para evitar a proliferação do novo coronavírus
 	Em tempos de pandemia, a prontidão dos militares para o combate é permanente. O Comando Conjunto Sul, por intermédio do 1º Regimento de Carros de Combate, higienizou, no dia 14 de outubro, o Hospital Municipal de São Pedro do Sul (RS), que conta com grande fluxo diário de pessoas.	Higienização		Sul	RS	São Pedro do Sul
1026	https://operacaocovid19.defesa.gov.br/noticias/noticia/1765	16/11/2020	Forças Armadas prosseguem com ações de descontaminação
	O Comando Conjunto Leste descontaminou o Hospital Federal de Ipanema, localizado na cidade do Rio de Janeiro. Cerca de 25 militares da Marinha atuaram na desinfecção a fim de controlar a proliferação do novo coronavírus. O hospital, que é referência nacional no exercício da residência médica, recebeu a desinfecção em aproximadamente 2.100 metros quadrados.	Higienização		Sudeste	RJ	Rio de Janeiro
1027	https://operacaocovid19.defesa.gov.br/noticias/noticia/1766	18/11/2020	Forças Armadas apoiam Universidade Federal do Amazonas em pesquisa relacionada à Covid-19	A Capitania Fluvial de Tabatinga prestou apoio ao Instituto de Natureza e Cultura da Universidade Federal do Amazonas (UFAM) nas ações relacionadas à Covid-19.	Apoio Logístico		Norte	AM	Benjamin Constant
1028	https://operacaocovid19.defesa.gov.br/noticias/noticia/1767	19/11/2020	Comando do 4º Distrito Naval apoia ações em comunidades indígenas na Operação “Covid-19”	Em continuidade a Operação “Covid-19”, ativada desde 18 de março de 2020, os militares das organizações militares subordinadas ao Comando do 4º Distrito Naval (Com4°DN) prestaram apoio logístico com emprego de uma aeronave UH-15 para transporte de profissionais da área da saúde das Forças Armadas, além de materiais para atendimento das comunidades indígenas do Maranhão.	Apoio Logístico		Nordeste	MA	Grajaú
1029	https://operacaocovid19.defesa.gov.br/noticias/noticia/1768	18/11/2020	REGIMENTO REALIZA HIGIENIZAÇÃO DE ÁREAS PÚBLICAS EM SÃO PEDRO DO SUL
	Em 1º de outubro, o 1º Regimento de Carros de Combate realizou a higienização de áreas públicas da cidade de São Pedro do Sul. A atividade foi conduzida por militares aptos a realizar a atividade em locais com grande fluxo de pessoas, tendo como objetivos a prevenção e a diminuição dos riscos de propagação do novo coronavírus nessas áreas.	Higienização		Sul	RS	São Pedro do Sul
1030	https://operacaocovid19.defesa.gov.br/noticias/noticia/1769	19/11/2020	Descontaminação das Instalações da Estação de Trem de Inhoaíba
	Na manhã de terça-feira 11 de novembro, o 31º Grupo de Artilharia de Campanha Escola (31º GAC Es) realizou uma desinfecção de área e instalações, na Estação de Inhoaíba em Campo Grande (RJ).	Higienização		Sudeste	RJ	Rio de Janeiro
1031	https://operacaocovid19.defesa.gov.br/noticias/noticia/1770	19/11/2020	Navio-Patrulha “Guaratuba” promove ações para mitigar efeitos da Covid-19 na região de Aracaju (SE)
 	No período de 2 a 5 de novembro, o Navio-Patrulha "Guaratuba", subordinado ao Comando do Grupamento de Patrulha Naval do Leste (ComGptPatNavL), realizou ações de inspeção naval nas proximidades de Aracaju, com o objetivo de mitigar os efeitos da Covid-19.	Inspeções Sanitárias		Nordeste	SE	Aracajú
1032	https://operacaocovid19.defesa.gov.br/noticias/noticia/1771	19/11/2020	Militares da saúde da Força Aérea Brasileira atuam na Missão Roraima II
 	Profissionais da área de saúde da Força Aérea Brasileira (FAB) integraram uma comissão formada, também, por militares da Marinha do Brasil e do Exército Brasileiro que, entre os dias 20 e 26 de outubro, atuaram na Missão Roraima II. O foco da ação foi enviar Equipamentos de Proteção Individual, medicamentos, testes de COVID-19 e realizar atendimento especializado por clínicos gerais, ginecologistas, pediatras, infectologistas, além de enfermeiros e técnicos para terras indígenas.	Indígena	Parima	Norte	RR	 Boa Vista
1033	https://operacaocovid19.defesa.gov.br/noticias/noticia/1772	23/11/2020	Capitania dos Portos do Ceará realiza desinfecção no Ministério Público Militar, em Fortaleza (CE) 	A Capitania dos Portos do Ceará (CPCE) realizou, no dia 9 de novembro, desinfecção do prédio do Ministério Público Militar, em Fortaleza (CE).	Higienização		Nordeste	CE	Fortaleza
1034	https://operacaocovid19.defesa.gov.br/noticias/noticia/1773	23/11/2020	Grupo realiza higienização em instalações de templos religiosos
	Nos dias 12 e 13 de novembro, a equipe de higienização do 19º Grupo de Artilharia de Campanha (19º GAC) realizou a higienização das áreas internas e externas de templos religiosos de Santiago.
 A atividade teve por objetivo realizar medidas sanitárias preventivas ao controle de propagação da COVID-19, seguindo os protocolos e práticas orientados pelo Ministério da Saúde e demais órgãos de combate e prevenção à pandemia.	Higienização		Sul	RS	Santiago
1035	https://operacaocovid19.defesa.gov.br/noticias/noticia/1774	24/11/2020	Navio-Patrulha “Goiana” realiza ações de inspeção naval e conscientização no combate à Covid-19
	O Navio-Patrulha “Goiana”, subordinado ao Comando do Grupamento de Patrulha Naval do Nordeste (ComGptPatNavNE), realizou ações de inspeção naval e conscientização no combate à Covid-19, no período de 5 a 10 de outubro, durante o trânsito para a Base Naval de Val de Cães, localizada na cidade de Belém (PA).	Comunicação		Norte	PA	Belém
1036	https://operacaocovid19.defesa.gov.br/noticias/noticia/1775	24/11/2020	Missão Maranhão integra Marinha, Exército e Aeronáutica no combate à COVID-19
 	A Força Aérea Brasileira (FAB) participa da Missão Maranhão, uma ação interministerial com o objetivo de levar equipamentos de proteção individual (EPI), testes de COVID-19, medicamentos e profissionais de saúde para comunidades indígenas do estado do Maranhão. A ação, realizada pelo Ministério da Defesa juntamente com o Ministério da Saúde e o Ministério da Justiça, integra a Marinha, o Exército e a Aeronáutica e ocorre em três fases, no período de 14 de setembro a 05 de outubro, visando a atender mais de 30 mil índios.	Indígena	Terras Indígenas nos Polos Bases de Barra do Corda	Nordeste	MA	Santa Inês
1037	https://operacaocovid19.defesa.gov.br/noticias/noticia/1776	25/11/2020	Operação Covid 19: militares prosseguem com ações de descontaminação de locais públicos
 	O Ministério da Defesa permanece com ações para evitar a proliferação e mitigar os efeitos do novo coronavírus em todo o país.	Higienização		Norte	PA	Belém
1038	https://operacaocovid19.defesa.gov.br/noticias/noticia/1777	25/11/2020	Capitania Fluvial do Tietê-Paraná realiza ações de combate e prevenção à Covid-19	A Capitania Fluvial do Tietê-Paraná (CFTP), com a retomada das atividades náuticas e reabertura dos terminais de turismo, realizou, no final do mês de setembro, desinfecção em locais públicos da cidade que tiveram incremento no fluxo de pessoas.	Higienização		Sudeste	SP	Barra Bonita
1039	https://operacaocovid19.defesa.gov.br/noticias/noticia/1778	25/11/2020	CPRN realiza ações de inspeção naval e de conscientização sobre Covid-19 no litoral potiguar
	A Capitania dos Portos do Rio Grande do Norte (CPRN) realizou, no período de 10 a 12 de outubro, ações de inspeção naval nas localidades de Maracajaú, Tibau do Sul, Lagoa do Bonfim e Rio Potengi.	Inspeções Sanitárias		Nordeste	RN	Maracajaú
1040	https://operacaocovid19.defesa.gov.br/noticias/noticia/1779	25/11/2020	Medidas Sanitárias de Prevenção à COVID-19 no 1º R C Mec
 	Na manhã do dia 9 de junho, o 1º Regimento de Cavalaria Mecanizado, “Regimento Sá Britto”, realizou a higienização de suas áreas internas, seguindo as instruções colhidas em estágio no 9º Batalhão Logístico. Essa medida está sendo tomada sempre que são ocupadas ou desocupadas as instalações para repouso de militares com sintomas gripais, seguindo as medidas sanitárias preventivas à COVID-19.	Higienização		Sul	RS	Itaqui
1042	https://operacaocovid19.defesa.gov.br/noticias/noticia/1781	16/12/2020	Operação Covid 19: Ações de mitigação aos efeitos do coronavírus completam oito meses
	A luta para atenuar as consequências do novo coronavírus prossegue por todo o país. Nesta sexta-feira (20), a Operação Covid-19 completa oito meses de atuação. A operação chegou a empregar, diariamente, cerca de 34 mil militares da Marinha, do Exército e da Aeronáutica, efetivo superior ao da Força Expedicionária Brasileira na Segunda Guerra Mundial.	Indígena	Terras Indígenas Kayapó	Norte	PA	
1043	https://operacaocovid19.defesa.gov.br/noticias/noticia/1782	16/12/2020	Cerca de 2 mil procedimentos de saúde beneficiam indígenas no Pará
	A ação interministerial, comandada pelas Pastas da Defesa e da Saúde, realizou aproximadamente 2 mil procedimentos de saúde, em três dias, nas Terras Indígenas Kayapó, no Pará. A Missão Kayapó, iniciada na terça-feira (17), prossegue até a terça-feira (24), em mais uma ação de combate à Covid-19.	Indígena	Terras Indígenas Kayapó	Norte	PA	
1044	https://operacaocovid19.defesa.gov.br/noticias/noticia/1783	16/12/2020	Operação Covid-19: Militares da área de saúde concluem Missão Kayapó, no Pará
	Durante oito dias, a Missão Kayapó levou profissionais de saúde e mais de três toneladas insumos médicos para reforçar o combate à Covid-19 nas comunidades indígenas. A ação interministerial, coordenada pelo Ministério da Defesa e da Saúde, chegou ao fim na terça-feira (24), em Ourilândia do Norte (PA).	Indígena	Kayapó 	Norte	PA	Ourilândia do Norte
1045	https://operacaocovid19.defesa.gov.br/noticias/noticia/1784	16/12/2020	Atendimento médico em aldeias indígenas previne contra novo coronavírus
	Na terça-feira (24), profissionais das Forças Armadas iniciaram o atendimento de saúde a indígenas de etnia wai wai na Aldeia Mapuerá, localizada a 260 km do município de Oriximiná, onde a equipe que integra a Operação Guamá-Tocantins está baseada. São 21 militares das áreas de ginecologia, pediatria, obstetrícia, infectologia, veterinária, técnicos em enfermagem e em veterinária. A Missão Guamá-Tocantins ocorre no contexto da Operação Covid-19 de mitigação aos efeitos do novo coronavírus.	Indígena	Wai Wai	Norte	PA	Oriximiná
1046	https://operacaocovid19.defesa.gov.br/noticias/noticia/1785	16/12/2020	Forças Armadas encerram Operação Amapá e seguem com as ações na Covid-19 e Verde Brasil
	Após 19 dias de atuação diária, as Forças Armadas finalizaram a Operação Amapá, na última quinta-feira (26). As ações dos militares da Marinha, Exército e Aeronáutica, iniciaram devido à interrupção de energia elétrica no estado, em 3 de novembro. Com a necessidade de apoio e autorização para execução dos trabalhos, o Ministério da Defesa ativou a operação em 7 de novembro.	Apoio Logístico		Norte	AP	
1047	https://operacaocovid19.defesa.gov.br/noticias/noticia/1786	16/12/2020	Com as recomendações de saúde da COVID-19, Forças Armadas realizam concursos públicos para as Escolas Militares 	Devido ao enfrentamento da pandemia da COVID-19, o Ministério da Defesa orientou os Comandos da Marinha, do Exército e da Aeronáutica a realizarem os concursos públicos para ingresso nas Escolas Militares, de forma segura e responsável.	Comunicação				
1048	https://operacaocovid19.defesa.gov.br/noticias/noticia/1787	16/12/2020	Forças Armadas continuam ações nas Operações Covid-19 e Verde Brasil 2
	O Ministério da Defesa segue a coordenação das ações de prevenção com a Operação Covid-19 e de combate a delitos ambientais, com a Operação Verde Brasil 2. Confira as atividades que ocorreram na última semana:	Comunicação		Norte	AP	
1049	https://operacaocovid19.defesa.gov.br/noticias/noticia/1788	16/12/2020	Profissionais de saúde realizam atendimento na Aldeia Umariaçu I, em Tabatinga, no Amazonas
	Levar apoio a quem mais precisa. Essa é a motivação da equipe médica das Forças Armadas na Missão Alto Solimões de assistência a comunidades indígenas. Na terça-feira (08), primeiro dia de atividade, eles realizaram 242 atendimentos na Aldeia Umariaçu I, cerca de 5km do 8º Batalhão de Infantaria de Selva (8º BIS). A operação ocorre de 7 a 14 de dezembro, em Tabatinga, no Amazonas. O município fica localizado próximo à fronteira com a Colômbia, na tríplice fronteira entre Brasil, Colombia e Peru. Na região, a etnia indígena predominante é tikuna.	Higienização	Tikuna	Norte	AM	Tabatinga
1050	https://operacaocovid19.defesa.gov.br/noticias/noticia/1789	16/12/2020	Equipe de saúde das Forças Armadas apoia comunidade indígena no Amazonas
	Profissionais de saúde das Forças Armadas estiveram, nessa quarta-feira (10), na Aldeia Umariaçu II, em Tabatinga, Amazonas, para prestar apoio à comunidade indígena. Esse foi o segundo dia de atividades da Missão Alto Solimões, que ocorre de 7 a 14 de dezembro, em cinco aldeias do município amazônico.	Indígena	Tikuna	Norte	AM	Tabatinga
1051	https://operacaocovid19.defesa.gov.br/noticias/noticia/1790	16/12/2020	Ação interministerial da Defesa e da Saúde leva jornalistas para acompanhar a Missão Alto Solimões, no Amazonas
	Jornalistas de veículos nacionais e internacionais estiveram em Tabatinga, no Amazonas, para acompanhar os trabalhos da Missão Alto Solimões. Trata-se de operação interministerial de combate à Covid-19, que teve início em 7 de dezembro e será encerrada na segunda-feira (14), dezembro, para levar apoio de saúde a comunidades indígenas da região.	Indígena	Tikuna	Norte	AM	Tabatinga
1052	https://operacaocovid19.defesa.gov.br/noticias/noticia/1791	17/12/2020	Ministro da Defesa prestigia lançamento do Plano Nacional de Operacionalização da Vacinação contra a Covid-19
	Na manhã desta quarta-feira (16), o Ministro da Defesa, Fernando Azevedo, compareceu à cerimônia de apresentação do Plano Nacional de Operacionalização da Vacinação contra a Covid-19, no Palácio do Planalto. Durante o evento, o Presidente da República, Jair Bolsonaro, destacou que é um momento muito feliz para os brasileiros. “Nós todos estamos na eminência de apresentar uma alternativa concreta para nos livramos desse mal. Temos aqui o Plano Nacional de Operacionalização da Vacinação contra a Covid-19.	Comunicação		Centro-Oeste	DF	Brasília
1053	https://operacaocovid19.defesa.gov.br/noticias/noticia/1792	17/12/2020	FAB realiza transporte de profissionais de saúde e insumos de combate à COVID-19
	Nessa segunda-feira (07), a Força Aérea Brasileira (FAB) transportou 26 profissionais de saúde das Forças Armadas e uma enfermeira do Ministério da Saúde. A aeronave C-99A, operada pelo Esquadrão Condor (1º/2º GT), situado na Ala 11, no Rio de Janeiro (RJ), realizou o Transporte Aéreo Logístico para Tabatinga (AM), em cumprimento da Missão Alto Solimões. A missão ocorrerá até o próximo dia 14.	Apoio Logístico		Norte	AM	Tabatinga
1054	https://operacaocovid19.defesa.gov.br/noticias/noticia/1793	17/12/2020	FAB transporta materiais e profissionais de saúde em apoio à Operação COVID-19
	A Força Aérea Brasileira (FAB), em apoio à Operação COVID-19, realizou, entre domingo (26/07) e sábado (01/08), diversas missões de Transporte Aéreo Logístico. As aeronaves C-130 Hércules, SC-105 Amazonas e H-60L Black Hawk transportaram profissionais de saúde que atuam no enfrentamento ao novo Coronavírus, além de equipamentos hospitalares, para Barra do Garças (MT), Boa vista (RR) e Comunidades Indígenas na região do Vale do Javari, no Amazonas.	Apoio Logístico		Norte	RR	Boa Vista
1055	https://operacaocovid19.defesa.gov.br/noticias/noticia/1794	17/12/2020	Militares participam de testagem para COVID-19
	Nos dias 10 e 11 de dezembro, ocorreu no 8º Depósito de Suprimento (8° D Sup) o inquérito epidemiológico para testagem da COVID-19 em todo o efetivo do “Templo da Logística”. A atividade foi executada pelo Hospital Geral de Belém (HGe Belém), que disponibilizou material necessário para a aplicação dos testes.	Apoio de Saúde		Norte	PA	Belém
1056	https://operacaocovid19.defesa.gov.br/noticias/noticia/1795	17/12/2020	Marinha apoia ação social da Arquidiocese de São Sebastião do Rio de Janeiro
	No dia 14 de novembro, a Marinha esteve presente na Catedral Metropolitana de São Sebastião do Rio de Janeiro (RJ), na região central da cidade, para contribuir com o vicariato da caridade social, família franciscana e outros órgãos na prestação de apoio à IV Jornada Mundial dos Pobres, evento celebrado desde o início da semana passada. Na ocasião, militares apoiaram a distribuição de água e máscaras descartáveis de TNT a pessoas em situação de rua, além de oferecerem serviços básicos de enfermagem e corte de cabelo. As ações ocorreram ao som do Conjunto “Fuzibossa”, que fez uma apresentação especial para todos os presentes, repleta de clássicos da MPB. Todos os protocolos de segurança contra a transmissão da Covid-19 foram respeitados.
	Apoio Logístico		Sudeste	RJ	Rio de Janeiro
1057	https://operacaocovid19.defesa.gov.br/noticias/noticia/1796	17/12/2020	Capitania dos Portos do Paraná realiza ações de conscientização no combate à Covid-19 em inspeções navais
	A Capitania dos Portos do Paraná (CPPR) realizou ações de conscientização junto à comunidade náutica de Ponta Grossa, na região dos Campos Gerais do Paraná, a fim de contribuir com o combate à disseminação da Covid-19 no início do mês de novembro. As equipes de inspeção naval orientaram os condutores de embarcações e passageiros a adotar medidas de prevenção para evitar a propagação do novo coronavírus no Alagados de Ponta Grossa, represa artificial no Rio Pitangui para a Hidrelétrica São Jorge.	Comunicação		Sul	PR	Ponta Grossa
1058	https://operacaocovid19.defesa.gov.br/noticias/noticia/1797	17/12/2020	Grupamento Operativo de Fuzileiros Navais realiza ação de desinfecção no Grupamento de Bombeiros Marítimo em Santos (SP)
	Na madrugada do dia 17 de novembro, o Grupamento Operativo de Fuzileiros Navais realizou desinfecção preventiva no Grupamento de Bombeiros Marítimo em Santos (SP).
 A ação faz parte das medidas adotadas pela Operação “Covid-19” no Estado de São Paulo em prevenção e combate à pandemia do novo coronavírus.	Higienização		Sudeste	SP	Santos
1059	https://operacaocovid19.defesa.gov.br/noticias/noticia/1798	17/12/2020	Missão Alto Solimões realizou mais de 6,5 mil procedimentos de saúde em aldeias do Amazonas
	Após sete dias de intenso trabalho, de 7 a 14 de dezembro deste ano, a Missão Alto Solimões chegou ao fim. Essa é 16ª missão indígena e 19ª ação interministerial entre os Ministérios da Defesa, da Saúde e da Justiça. Ao todo, 27 profissionais de saúde das Forças Armadas atenderam quatro comunidades indígenas das etnias ticuna, kaixana e kokama, das aldeias Umariaçu I e II, Campo Alegre e São Sebastião, na região de Tabatinga, no Amazonas. Foram realizados mais de 6,5 mil procedimentos em distintas áreas da saúde e atendidos cerca de 1700 indígenas.	Indígena	Ticuna	Norte	AM	Tabatinga
1060	https://operacaocovid19.defesa.gov.br/noticias/noticia/1799	23/12/2020	Forças Armadas completam 9 meses de atividades no combate ao novo coronavírus
	A Operação Covid-19 do Ministério da Defesa completou 9 meses neste domingo (20/12). Em mais de 270 dias, o Centro de Operações Conjuntas (COC) atuou na coordenação do emprego das Forças Armadas no combate ao novo coronavírus em todo o país.	Coordenação				
1061	https://operacaocovid19.defesa.gov.br/noticias/noticia/1800	23/12/2020	Desinfecção das instalações do Aeroporto Presidente João Suassuna em Campina Grande (PB)
	O 15º Batalhão de Infantaria Motorizado (15º BI Mtz) realizou, no dia 16 de dezembro, a desinfecção das instalações do Aeroporto Presidente João Suassuna em Campina Grande (PB).
 A atividade tem o propósito de evitar a propagação do novo coronavírus e a contaminação dos usuários do aeroporto e áreas de uso comum.
 Crédito: Cb Carvalho	Higienização		Nordeste	PB	Campina Grande
1062	https://operacaocovid19.defesa.gov.br/noticias/noticia/1801	23/12/2020	Módulos do H Cmp permitem atender mais pacientes com a COVID-19 e realizar mais exames laboratoriais
	O Hospital Central do Exército (HCE), que está sediado no Rio de Janeiro, atento às questões acerca da pandemia do novo coronavírus, está mobilizando novas estruturas e processos de atendimento à família militar.	Apoio Logístico		Sudeste	RJ	Rio de Janeiro
1063	https://operacaocovid19.defesa.gov.br/noticias/noticia/1802	29/12/2020	Comando Conjunto Leste realiza desinfecção das instalações da 4ª Coordenadoria de Assistência Social e Direitos Humanos da Prefeitura do Rio de Janeiro.
	A Marinha do Brasil, por meio do Comando Conjunto Leste (CCjL), realizou, no dia 29 de dezembro, desinfecções nas instalações da 4ª Coordenadoria de Assistência Social e Direitos Humanos da Prefeitura do Rio de Janeiro (4ª CASDH). Nesta ação de sanitização, militares do Grupamento Operativo de Fuzileiros Navais, com uma equipe especializada em Defesa Nuclear, Biológica, Química e Radiológica (NBQR) realizaram a desinfecção nas instalações internas da Coordenadoria, cobrindo uma área total de 500 m²	Higienização		Sudeste	RJ	Rio de Janeiro
1064	https://operacaocovid19.defesa.gov.br/noticias/noticia/1803	29/12/2020	Comando Conjunto Leste realiza desinfecção na estação de trem da Central do Brasil, no Rio de Janeiro.
	A Marinha do Brasil, por meio do Comando Conjunto Leste (CCj L), dando continuidade às ações que vem sendo realizadas desde março em transportes públicos na capital fluminense, acentuou, no dia 22 de dezembro, as medidas de desinfecção nas estações de trem do Rio de Janeiro (RJ), com o intuito de evitar a disseminação do coronavírus. Nesta circustância, militares do Grupamento Operativo de Fuzileiros Navais, com uma equipe especializada em Defesa Nuclear, Biológica, Química e Radiológica (NBQR) realizaram a desinfecção nas instalações internas da estação, além de corredores de acesso às plataformas de embarque, bancos de espera para passageiros e bilheteria da estação Central do Brasil, contribuindo assim, para que os usuários desse meio de transporte pudessem transitar de forma segura.	Higienização		Sudeste	RJ	Rio de Janeiro
1065	https://operacaocovid19.defesa.gov.br/noticias/noticia/1804	20/01/2021	Comando Conjunto Leste realiza desinfecção na Sede Administrativa da Companhia Docas do Rio de Janeiro, em Itaguaí
	 Marinha do Brasil, por meio do Comando Conjunto Leste (CCjL), realizou, na manhã de terça-feira, 12 de janeiro, desinfecção das instalações da Sede Administrativas da Companhia Docas do Rio de Janeiro (CDRJ), em Itaguaí. A atividade integra o contexto da Operação “Covid-19”, iniciada em março de 2020 com o propósito de prevenir a disseminação do Novo Coronavírus	Higienização		Sudeste	RJ	Rio de Janeiro
1066	https://operacaocovid19.defesa.gov.br/noticias/noticia/1805	20/01/2021	Comando Conjunto Leste dá continuidade às ações de desinfecção na Companhia Docas do Rio de Janeiro
	Em continuidade às desinfecções realizadas na Companhia Docas do Rio de Janeiro (CDRJ), a Marinha do Brasil, por meio do Comando Conjunto Leste (CCjL), realizou, na manhã de quinta-feira, 14 de janeiro, mais uma ação na sede administrativa da Companhia. Desta vez, as instalações localizadas no Porto do Rio de Janeiro passaram pelo procedimento de sanitização.	Higienização		Sudeste	RJ	Rio de Janeiro
1067	https://operacaocovid19.defesa.gov.br/noticias/noticia/1806	20/01/2021	FAB realiza transporte de pacientes de Manaus (AM) para outras cidades 	A Força Aérea Brasileira (FAB) iniciou, no dia 15 de janeiro, o transporte de pacientes, acompanhados de equipes de saúde, de Manaus (AM) para Teresina (PI). Uma aeronave C-99, operada pelo Primeiro Esquadrão do Segundo Grupo de Transporte (1º/2º GT) – Esquadrão Condor, decolou de Manaus, às 7h57 (horário de Brasília), com pouso em Teresina, às 11h40, com nove pacientes e seis profissionais de saúde a bordo. No mesmo dia, outra aeronave decolou, às 19h17 (horário de Brasília), de Manaus para São Luís (MA), com mais 12 pacientes.
 
	Apoio de Saúde		Nordeste	MA	São Luís
1068	https://operacaocovid19.defesa.gov.br/noticias/noticia/1807	20/01/2021	Aeronaves da FAB realizam transporte de insumo e oxigênio para Manaus (AM)
	Nesta sexta-feira (15), duas aeronaves KC-390 Millennium, operadas pelo Esquadrão Zeus (1° GTT), realizaram missões de apoio à Operação COVID-19. A primeira decolou de Recife (PE) para Manaus (AM), transportando 8,5 toneladas de material hospitalar, camas, tendas, geradores e barracas. A segunda decolou da Base Aérea do Galeão, no Rio de Janeiro (RJ), com 11 toneladas de insumos hospitalares e um gerador. Após o carregamento, seguiu para Manaus (AM), onde pousou durante a tarde de hoje.
 
	Apoio Logístico		Norte	AM	Manaus
1069	https://operacaocovid19.defesa.gov.br/noticias/noticia/1808	20/01/2021	FAB atinge marca de mais de 100 horas voadas e mais de 110 toneladas transportas
	Em continuidade ao emprego de aeronaves da Força Aérea Brasileira (FAB) na Operação COVID-19, intensificada na capital amazonense, dois aviões C-130 Hércules realizaram missões na madrugada deste sábado (16). Operados pelo Esquadrão Gordo (1º/1º GT), os aviões decolaram da Base Aérea de São Paulo (BASP), em Guarulhos (SP), com destino a Manaus (AM). Com estas missões, a FAB atinge a marca de 114 horas voadas e cerca de 110 toneladas transportadas em nove dias de intensa atividade no Amazonas.
 
	Apoio Logístico		Norte	AM	Manaus
1070	https://operacaocovid19.defesa.gov.br/noticias/noticia/1809	20/01/2021	KC-390 Millennium realiza primeiro transporte de tanques de oxigênio para Manaus
	O FAB 2853, operado pelo Primeiro Grupo de Transporte de Tropa (1° GTT) - Esquadrão Zeus decolou às 17h05 (horário de Brasília) deste sábado (16), da Base Aérea de São Paulo (BASP), em Guarulhos (SP), com cinco tanques de oxigênio líquido, o que corresponde a 5.550 quilos de carga. O pouso, na Ala 8 – Manaus (AM), ocorreu às 20h40. A missão ocorre em apoio à Operação COVID-19.
 
	Apoio Logístico		Norte	AM	Manaus
